id;name;simplified_name;simple_screen_name;screen_name;url;followers_count;classification;simple_class
43905078;Gabrielle Nascimento;gabrielle nascimento;gabriolaz;"""gabriolaz""";https://twitter.com/gabriolaz;37338;feminista;F
20969594;Galeria feminista;galeria feminista;feministasx;"""feministasx""";https://twitter.com/feministasx;12139;feminista;F
25968434;Geek & Feminist;geek & feminist;geeknfeminist;"""geeknfeminist""";https://twitter.com/geeknfeminist;20247;feminista;F
47357622;GeledÇs Instituto da Mulher Negra;geledÇs instituto da mulher negra;geledes;"""geledes""";https://twitter.com/geledes;56507;feminista;F
93303789;Hailey Kaas;hailey kaas;transqueerfem;"""transqueerfem""";https://twitter.com/transqueerfem;3810;feminista;F
10584759;Iana Chan;iana chan;iana;"""iana""";https://twitter.com/iana;2989;feminista;F
79622064;Imprensa feminista;imprensa feminista;imprensafeminis;"""imprensafeminis""";https://twitter.com/imprensafeminis;6381;feminista;F
19809931;Instituto Marielle Franco;instituto marielle franco;inst_marielle;"""inst_marielle""";https://twitter.com/inst_marielle;60587;feminista;F
73543589;Isa Penna;isa penna;IsaPennaPsol;"""IsaPennaPsol""";https://twitter.com/IsaPennaPsol;23551;feminista;F
54384891;Isabela Reis;isabela reis;bela_reis;"""bela_reis""";https://twitter.com/bela_reis;33797;feminista;F
90247158;Iza Lourenáa;iza lourenáa;izalourenca;"""izalourenca""";https://twitter.com/izalourenca;4323;feminista;F
22444776;Jandira Feghali;jandira feghali;jandira_feghali;"""jandira_feghali""";https://twitter.com/jandira_feghali;382899;feminista;F
71375400;Joanna Maranh∆o;joanna maranh∆o;Jujuca1987;"""Jujuca1987""";https://twitter.com/Jujuca1987;122112;feminista;F
94457104;Joenia Wapichana;joenia wapichana;JoeniaWapichana;"""JoeniaWapichana""";https://twitter.com/JoeniaWapichana;8773;feminista;F
96023767;Jout Jout;jout jout;joutfuckinjout;"""joutfuckinjout""";https://twitter.com/joutfuckinjout;384410;feminista;F
96499124;Ju Wallauer;ju wallauer;jwallauer;"""jwallauer""";https://twitter.com/jwallauer;48514;feminista;F
64704248;Juliana Cardoso;juliana cardoso;julianapt;"""julianapt""";https://twitter.com/julianapt;6689;feminista;F
53052488;Juliana Lossio;juliana lossio;julianalssart;"""julianalssart""";https://twitter.com/julianalssart;18158;feminista;F
93802436;Jurema Werneck;jurema werneck;juremawerneck;"""juremawerneck""";https://twitter.com/juremawerneck;15671;feminista;F
16438820;Lado M;lado m;SiteLadoM;"""SiteLadoM""";https://twitter.com/SiteLadoM;5811;feminista;F
4944815;Laerte;laerte;LaerteCoutinho1;"""LaerteCoutinho1""";https://twitter.com/LaerteCoutinho1;270690;feminista;F
3908443;Lana de Holanda;lana de holanda;lanadeholanda;"""lanadeholanda""";https://twitter.com/lanadeholanda;7621;feminista;F
56881751;Laura Carvalho;laura carvalho;lauraabcarvalho;"""lauraabcarvalho""";https://twitter.com/lauraabcarvalho;165690;feminista;F
60887857;Leci Brand∆o;leci brand∆o;lecibrandao;"""lecibrandao""";https://twitter.com/lecibrandao;81755;feminista;F
87302440;Let°cia Parks;let°cia parks;letparks;"""letparks""";https://twitter.com/letparks;25320;feminista;F
64852924;Linn da Quebrada;linn da quebrada;linndaquebrada;"""linndaquebrada""";https://twitter.com/linndaquebrada;130958;feminista;F
