Id,Label,timeset,no,nome_usuario,nome,pessoa,genero,20210215_seguidores,tam_rel_seguidores,ponto_ideal,estado,afiliacao,universidades,partido,saido,suspenso,posicao,profissoes,bio,genero_str,intersec1,intersec1_str,intersec2,intersec2_str,art_prod,polit_militan,jor_com,jus,mid,part_col,polic_militar,prof,saude,ciencia,emp,rel,out,art_prod_str,intersec3,intersec3_str,polit_militan_str,jor_com_str,jus_str,mid_str,part_col_str,polic_militar_str,prof_str,saude_str,ciencia_str,emp_str,rel_str,out_str,federal,federal_str,puc,puc_str,estadual,estadual_str,militar,militar_str,nome_usuario_raw,seguidores_analisados
apellegrino,apellegrino,,58,@apellegrino,Antonia Pellegrino,1,1,25175,0.003766,-1.448386,RJ,,PUC-Rio,PSOL,0,0,Feminista,"diretor, produtor, escritor, roteirista",Vereadora do Rio (PSOL). Arquiteta e mestr...,Feminino,0,Não Negra e Não Trans,0,Não Negra e Trans,1,0,0,0,0,0,0,1,0,0,0,0,0,Artistas e Produtores,0,Não Músico ou Religioso,Não Políticos ou Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Professores, Intelectuais e Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,0,Não Federais,1,PUC,0,Não Estaduais,0,Não Militar,apellegrino,5742
ArthurWeint,ArthurWeint,,184,@ArthurWeint,Arthur Weintraub,1,0,582824,0.087197,1.569364,SP,,"Universidade Federal de São Paulo, Universidade de São Paulo",,0,0,Antifeminista,acadêmico,"Professor de Direito Unifesp. Bacharel, Me...",Masculino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,0,0,0,0,0,0,1,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Não Políticos ou Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Professores, Intelectuais e Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,1,Federais,0,Não PUC,1,Estaduais,0,Não Militar,ArthurWeint,59375
aureacarolinax,aureacarolinax,,48,@aureacarolinax,Áurea Carolina,1,1,86757,0.01298,-1.580536,MG,,Universidade Federal de Minas Gerais,PSOL,0,0,Feminista,"político, ativista negro, acadêmico, cientista social",Deputada federal pelo <br>@psol50<br>. Edu...,Feminino,1,Negra ou Trans,0,Não Negra e Trans,0,1,0,0,0,0,0,1,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Políticos e Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Professores, Intelectuais e Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,1,Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,aureacarolinax,15933
bela_reis,bela_reis,,14,@bela_reis,Isabela Reis,1,1,48002,0.007182,-2.045617,RJ,,Universidade Federal do Rio de Janeiro,,0,0,Feminista,"jornalista, ativista negro, podcaster, escritor","Jornalista, capricorniana, macumbeira, ati...",Feminino,1,Negra ou Trans,0,Não Negra e Trans,0,1,1,0,0,0,0,1,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Políticos e Ativistas,Jornalistas e Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Professores, Intelectuais e Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,1,Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,bela_reis,7049
Biakicis,Biakicis,,167,@Biakicis,Bia Kicis,1,1,780168,0.116722,1.500296,RJ,,Universidade de Brasília,PSL,0,0,Antifeminista,"procurador da república, político, advogado, youtuber","Procuradora do DF por 24 anos, ativista e ...",Feminino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,1,1,1,0,0,0,0,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Políticos e Ativistas,Jornalistas e Comunicadores,Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,0,Não Federais,0,Não PUC,1,Estaduais,0,Não Militar,Biakicis,66258
bibonunes1,bibonunes1,,159,@bibonunes1,Bibo Nunes,1,0,178649,0.026728,1.442361,RJ,,,PSL,0,0,Antifeminista,"político, empresário, jornalista","Bibo Nunes é deputado federal do PSL-RS, e...",Masculino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,1,1,0,0,0,0,0,0,0,1,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Políticos e Ativistas,Jornalistas e Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Empresários,Não Líderes Religiosos,Sem Características Únicas,0,Não Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,bibonunes1,20181
BispoMacedo,BispoMacedo,,94,@BispoMacedo,Edir Macedo,1,0,458254,0.06856,0.131298,RJ,,,,0,0,Antifeminista,"religioso, pastor evangélico","""Não escolhemos vir ao mundo, mas temos o ...",Masculino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,0,0,0,0,0,0,0,0,0,0,1,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Não Políticos ou Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Líderes Religiosos,Sem Características Únicas,0,Não Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,BispoMacedo,9705
blogfeministas,blogfeministas,,29,@blogfeministas,Blogueiras Feministas,0,0,53796,0.008048,-1.823219,,Blogueiras Feministas,,,0,0,Feminista,"mídia, feminista",Twitter oficial do site Blogueiras Feminis...,Masculino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,0,0,0,1,0,0,0,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Não Políticos ou Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,0,Não Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,blogfeministas,8459
BlogNegras,BlogNegras,,19,@BlogNegras,Blogueiras Negras,0,0,42941,0.006424,-2.020968,,Blogueiras Negras,,,0,0,Feminista,"mídia, negro",Informação para fazer a cabeça....,Masculino,1,Negra ou Trans,0,Não Negra e Trans,0,0,0,0,1,0,0,0,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Não Políticos ou Ativistas,Não Jornalistas ou Comunicadores,Não Trabalhadores da Justiça,Mídias,Não Partidos ou Coletivos,Não Policiais ou Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,0,Não Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,BlogNegras,7560
BolsonaroSP,BolsonaroSP,,116,@BolsonaroSP,Eduardo Bolsonaro,1,0,1987440,0.297344,0.966274,RJ,,Universidade Federal do Rio de Janeiro,PSL,0,0,Antifeminista,"político, policial federal, advogado",Deputado Federal mais votado da história d...,Masculino,0,Não Negra e Não Trans,0,Não Negra e Trans,0,1,0,1,0,0,1,0,0,0,0,0,0,Não Artistas ou Produtores,0,Não Músico ou Religioso,Políticos e Ativistas,Não Jornalistas ou Comunicadores,Trabalhadores da Justiça,Não Mídias,Não Partidos ou Coletivos,Policiais e Militares,"Não Professores, Intelectuais ou Escritores",Não Profissionais da Saúde,Não Cientistas das Exatas e Engenheiros,Não Empresários,Não Líderes Religiosos,Sem Características Únicas,1,Federais,0,Não PUC,0,Não Estaduais,0,Não Militar,BolsonaroSP,124750
