id,name,simplified_name,simple_screen_name,screen_name,url,followers_count,classification
25968434,Geek & Feminist,geek & feminist,geeknfeminist,"""geeknfeminist""",https://twitter.com/geeknfeminist,20247,feminista
47357622,Geledés Instituto da Mulher Negra,geledés instituto da mulher negra,geledes,"""geledes""",https://twitter.com/geledes,56507,feminista
93303789,Hailey Kaas,hailey kaas,transqueerfem,"""transqueerfem""",https://twitter.com/transqueerfem,3810,feminista
10584759,Iana Chan,iana chan,iana,"""iana""",https://twitter.com/iana,2989,feminista
79622064,Imprensa feminista,imprensa feminista,imprensafeminis,"""imprensafeminis""",https://twitter.com/imprensafeminis,6381,feminista
19809931,Instituto Marielle Franco,instituto marielle franco,inst_marielle,"""inst_marielle""",https://twitter.com/inst_marielle,60587,feminista
73543589,Isa Penna,isa penna,IsaPennaPsol,"""IsaPennaPsol""",https://twitter.com/IsaPennaPsol,23551,feminista
54384891,Isabela Reis,isabela reis,bela_reis,"""bela_reis""",https://twitter.com/bela_reis,33797,feminista
90247158,Iza Lourença,iza lourença,izalourenca,"""izalourenca""",https://twitter.com/izalourenca,4323,feminista
22444776,Jandira Feghali,jandira feghali,jandira_feghali,"""jandira_feghali""",https://twitter.com/jandira_feghali,382899,feminista
71375400,Joanna Maranhão,joanna maranhão,Jujuca1987,"""Jujuca1987""",https://twitter.com/Jujuca1987,122112,feminista
94457104,Joenia Wapichana,joenia wapichana,JoeniaWapichana,"""JoeniaWapichana""",https://twitter.com/JoeniaWapichana,8773,feminista
96023767,Jout Jout,jout jout,joutfuckinjout,"""joutfuckinjout""",https://twitter.com/joutfuckinjout,384410,feminista
96499124,Ju Wallauer,ju wallauer,jwallauer,"""jwallauer""",https://twitter.com/jwallauer,48514,feminista
64704248,Juliana Cardoso,juliana cardoso,julianapt,"""julianapt""",https://twitter.com/julianapt,6689,feminista
53052488,Juliana Lossio,juliana lossio,julianalssart,"""julianalssart""",https://twitter.com/julianalssart,18158,feminista
93802436,Jurema Werneck,jurema werneck,juremawerneck,"""juremawerneck""",https://twitter.com/juremawerneck,15671,feminista
16438820,Lado M,lado m,SiteLadoM,"""SiteLadoM""",https://twitter.com/SiteLadoM,5811,feminista
4944815,Laerte,laerte,LaerteCoutinho1,"""LaerteCoutinho1""",https://twitter.com/LaerteCoutinho1,270690,feminista
