,medida_media
10409,-0.1502374532143801
10410,-1.8484489503617978
10411,0.33366982128775
10412,-1.0285429239462722
10413,-2.053604454237863
10414,-0.35486562415696915
10415,-0.9445050836850546
10416,0.0885137758498001
10417,0.811269508272408
10418,1.4095040171844755
10419,-0.5325997578177271
10420,1.0055637286080958
10421,1.4277166154349092
10422,1.6337825874840708
10423,-0.8773617498975029
10424,-1.7442578372499302
10425,-1.0826102644273796
10426,0.9116245198791592
10427,1.0872587633006927
10428,-1.2705457571481107
10429,-0.9107605044302214
10430,-0.5611601484146553
10431,0.5593946799047037
10432,-0.46580926425986147
10433,-0.07029664411599063
10434,2.325668495150488
10435,-1.2457349241719817
10436,0.14489833847544478
10437,-0.413680987314763
10438,0.3002070859110993
10439,1.1752174919916227
10440,1.0369334187057215
10441,-2.53243861151709
10442,-1.4607734361764175
10443,0.7254972273397747
10444,-0.8928899555233698
10445,0.019200384068689236
10446,-0.9221245498261489
10447,0.8409874699719255
10448,-0.06440917336462855
10449,0.2798663134025848
10450,0.18442791174491308
10451,0.22947525796601564
10452,-2.2223606493161134
10453,-2.2943223117044864
10454,2.106831261974923
10455,0.12705395491306076
10456,0.28480051033590775
10457,0.13603885565376247
10458,1.6222104240688269
10459,-0.015390794104708796
10460,-1.003093670329647
10461,-1.7768699184653696
10462,0.09517281644829235
10463,1.299887679135965
10464,-2.127316275942901
10465,-1.296274218363443
10466,0.8473825260977405
10467,0.14891866687742658
10468,-1.0786645464870608
10469,-0.8086139347803492
10470,0.36070610078960647
10471,-0.08784674256954123
10472,0.12255888210636727
10473,0.6573104846695285
10474,0.5195021779176043
10475,-1.301519854074037
10476,1.557371318148246
10477,0.13620292828351202
10478,0.2924780173575082
10479,0.010994382695069282
10480,0.6235111225811916
10481,-0.22971411404634884
10482,-0.05391884949408826
10483,-0.07077027407970325
10484,0.7058984667750239
10485,0.27189587025888656
10486,0.26878506305134414
10487,-1.3461352511849143
10488,-1.3028676577496898
10489,0.5769367977818886
10490,0.34265414672227423
10491,-1.2864614225756699
10492,-1.5236558994497074
10493,0.7108696193153378
10494,1.3049998750625693
10495,0.155173046253824
10496,0.826462477102113
10497,-0.37284754348244975
10498,0.32406117237387516
10499,0.24811222869642227
10500,-0.9850577880609543
10501,-1.0405361576417205
10502,0.19336267000878357
10503,1.7459519756589095
10504,-0.31218095031470733
10505,1.6489248069942444
10506,-1.9863316011106134
10507,-0.9195723038952693
10508,1.563650738561547
10509,0.3850135493826845
10510,1.061942795975491
10511,0.584029311229923
10512,0.6717330571603427
10513,1.2942176014976343
10514,-0.9857356745558918
10515,-1.3268191594017673
10516,-1.6546402091063803
10517,0.23060117195284238
10518,-0.07342980720566686
10519,0.5890156231549308
10520,-1.0092668614909148
10521,-0.5544712850389638
10522,0.6926849009550449
10523,-0.8879962494768335
10524,0.2654625555791294
10525,-1.090703674805186
10526,-0.8391354438311391
10527,0.6507113920128119
10528,0.3616974856130959
10529,-1.3132469678852268
10530,0.9941424804058201
10531,-1.2438893950355014
10532,-0.05017229204380694
10533,-1.074792081736063
10534,-0.08652992103169665
10535,-0.7427184784139266
10536,0.3062275962083061
10537,0.47132629249120517
10538,1.17581571613061
10539,0.03929874779036448
10540,0.5490236926505719
10541,0.17244537747833136
10542,1.263849996649049
10543,-0.062114087716251896
10544,-1.7218503507406338
